DATOS EMPRESA,,,TRAMOS A COBRAR,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA ADULTO MAYOR,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS. Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,
400027,Sociedad de Transportes Alfer y Cia Ltda,Petorca,T,1,El Rayado,La Ligua,Peumo,La Ligua,7.5,400,150,,,,,,,,,,,07.15,22.30,4557,06/11/18
400027,Sociedad de Transportes Alfer y Cia Ltda,Petorca,V1,2,El Rayado,La Ligua,El Rayado,La Ligua,3.5,400,150,,,,,,,,,,,07.15,22.30,4557,06/11/18
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,tarifa 2,,LIMACHE,LIMACHE,OLMUE,OLMUE,,500,,,,,,,,,,,,06.30,22.10,351,05/02/20
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,tarifa 3,,LIMACHE,LIMACHE,OLMUE,OLMUE,,600,,,,,,,,,,,,06.30,22.10,351,05/02/20
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 1,1,AV.VICTORIA #1665,LIMACHE,AV.GRANIZO,OLMUE,48,700,230,,,,,,,,,,,06:30,22:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 1,2,AV.VICTORIA #1665,LIMACHE,ESTACION LIMACHE,LIMACHE,13,500,160,,,,,,,,,,,06:30,22:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 1,3,ESTACION LIMACHE,LIMACHE,AV.GRANIZO,OLMUE,35,600,200,,,,,,,,,,,06:30,22:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 1,4,EATMANT P-10,OLMUE,AV.GRANIZO,OLMUE,28,500,160,,,,,,,,,,,06:30,22:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 2,1,AV.VICTORIA #1665,LIMACHE,CAJON GRANDE,OLMUE,45,700,230,,,,,,,,,,,06:30,20:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 2,2,ESTACION LIMACHE,LIMACHE,CAJON GRANDE,OLMUE,32,600,200,,,,,,,,,,,06:30,22:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 5,1,AV.VICTORIA #1665,LIMACHE,LOS LAURELES P95,LIMACHE,30,700,230,,,,,,,,,,,06:30,20:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 5,2,AV.VICTORIA #1665,LIMACHE,PANTANAL,LIMACHE,35,800,260,,,,,,,,,,,06:30,20:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 5,3,ESTACION LIMACHE,LIMACHE,LOS LAURELES P95,LIMACHE,20,500,160,,,,,,,,,,,07:00,20:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 7,1,ESTACION LIMACHE,LIMACHE,LLIU-LLIU,LIMACHE,49,800,260,,,,,,,,,,,07:00,19:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 8,1,ESTACION LIMACHE,LIMACHE,MAITENES ALTO,LIMACHE,13,500,160,,,,,,,,,,,07:00,20:00,2493,26/10/21
400086,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,SERVICIO 8,2,AV.VICTORIA #1665,LIMACHE,MAITENES ALTO,LIMACHE,25,600,200,,,,,,,,,,,07:00,20:00,2493,26/10/21
