RESPONSABLE DE SERVICIO,,, ,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA TERCERA EDAD,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS- Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha,tipo servicio,
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,,,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,1,CENTRO ,LOS ANDES,COL. INGLES - AV. P. BABURIZZA,CALLE LARGA,6,700,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,2,CENTRO ,LOS ANDES,"EL ESTERO, HASTA PUENTE",CALLE LARGA,7,800,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,3,CENTRO ,LOS ANDES,CALLE NUEVA,CALLE LARGA,8,1000,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,4,CENTRO ,LOS ANDES,CALDERA VIEJA,CALLE LARGA,9,1000,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,5,CENTRO ,LOS ANDES,CALDERA NUEVA,CALLE LARGA,10,1200,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,6,CENTRO ,LOS ANDES,PUENTE LA ROTONDA,CALLE LARGA,10,1000,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,7,CENTRO ,LOS ANDES,"LAS TOMILLAS, AFUERA",CALLE LARGA,11,1500,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,8,CENTRO ,LOS ANDES,"LAS TOMILLAS, INTERIOR",CALLE LARGA,11.7,2000,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,9,CENTRO ,LOS ANDES,EL PEDRERO,CALLE LARGA,12,2000,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 3,10,CENTRO ,LOS ANDES,TRANQUE LOS ROSALES,CALLE LARGA,12,2000,,,,,,,,,,,,07.00,21.00,2457,17/10/17,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,1,CENTRO LOS ANDES,LOS ANDES,"1° CRUCERO, PLAZA, PARADERO 11",CALLE LARGA,6,902,,,,,,,,,,,,7:00,21:00,2201,17/10/22,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,2,CENTRO LOS ANDES,LOS ANDES,"CAPILLA LAS NIEVES 1,2,3, CONSULTORIO",CALLE LARGA,7,902,,,,,,,,,,,,7:00,21:00,2201,17/10/22,COLECTIVO RURAL,
